election_type,province_number,province,district,subdistrict,เขต_ผู้มาใช้สิทธิ์,เขต_ผู้มีสิทธิ์,party,votes
สส เขต,7,เชียงใหม่,แม่อาย,แม่อาย,262,363,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,แม่อาย,210,250,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,แม่อาย,238,328,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,แม่อาย,316,438,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,แม่อาย,250,368,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,แม่อาย,256,373,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,แม่อาย,287,374,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,แม่อาย,257,300,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,แม่อาย,467,612,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,แม่อาย,460,697,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,แม่อาย,201,258,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,แม่อาย,333,555,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,แม่อาย,233,335,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,แม่อาย,473,592,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,แม่อาย,120,167,กรีน,0
สส เขต,7,เชียงใหม่,ไชยปราการ,ปงตำ,743,1004,กรีน,0
สส เขต,7,เชียงใหม่,ไชยปราการ,ปงตำ,692,1011,กรีน,0
สส เขต,7,เชียงใหม่,ไชยปราการ,ปงตำ,752,1018,กรีน,0
สส เขต,7,เชียงใหม่,ไชยปราการ,ปงตำ,578,749,กรีน,0
สส เขต,7,เชียงใหม่,ไชยปราการ,ปงตำ,242,333,กรีน,0
สส เขต,7,เชียงใหม่,ไชยปราการ,ปงตำ,379,479,กรีน,0
สส เขต,7,เชียงใหม่,ไชยปราการ,ปงตำ,517,674,กรีน,0
สส เขต,7,เชียงใหม่,ไชยปราการ,ปงตำ,411,608,กรีน,0
สส เขต,7,เชียงใหม่,ไชยปราการ,ปงตำ,135,186,กรีน,0
สส เขต,7,เชียงใหม่,ไชยปราการ,แม่ทะลบ,529,657,กรีน,0
สส เขต,7,เชียงใหม่,ไชยปราการ,แม่ทะลบ,469,605,กรีน,0
สส เขต,7,เชียงใหม่,ไชยปราการ,แม่ทะลบ,470,578,กรีน,0
สส เขต,7,เชียงใหม่,ไชยปราการ,แม่ทะลบ,730,968,กรีน,0
สส เขต,7,เชียงใหม่,ไชยปราการ,แม่ทะลบ,535,684,กรีน,0
สส เขต,7,เชียงใหม่,ไชยปราการ,แม่ทะลบ,447,554,กรีน,0
สส เขต,7,เชียงใหม่,ไชยปราการ,แม่ทะลบ,363,460,กรีน,0
สส เขต,7,เชียงใหม่,ไชยปราการ,แม่ทะลบ,388,509,กรีน,0
สส เขต,7,เชียงใหม่,ไชยปราการ,แม่ทะลบ,410,537,กรีน,0
สส เขต,7,เชียงใหม่,,,800,800,กรีน,0
สส เขต,7,เชียงใหม่,,,799,800,กรีน,0
สส เขต,7,เชียงใหม่,,,800,800,กรีน,0
สส เขต,7,เชียงใหม่,,,800,800,กรีน,0
สส เขต,7,เชียงใหม่,,,800,800,กรีน,0
สส เขต,7,เชียงใหม่,,,800,800,กรีน,0
สส เขต,7,เชียงใหม่,,,800,800,กรีน,0
สส เขต,7,เชียงใหม่,,,482,482,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,สันทราย,307,385,ก้าวไกล,97
สส เขต,7,เชียงใหม่,ฝาง,สันทราย,451,544,ก้าวไกล,137
สส เขต,7,เชียงใหม่,ฝาง,สันทราย,521,636,ก้าวไกล,164
สส เขต,7,เชียงใหม่,ฝาง,สันทราย,631,841,ก้าวไกล,172
สส เขต,7,เชียงใหม่,ฝาง,สันทราย,258,335,ก้าวไกล,101
สส เขต,7,เชียงใหม่,ฝาง,สันทราย,593,776,ก้าวไกล,170
สส เขต,7,เชียงใหม่,ฝาง,สันทราย,500,616,ก้าวไกล,143
สส เขต,7,เชียงใหม่,ฝาง,ม่อนปิ่น,414,536,ก้าวไกล,157
สส เขต,7,เชียงใหม่,ฝาง,ม่อนปิ่น,719,935,ก้าวไกล,189
สส เขต,7,เชียงใหม่,ฝาง,ม่อนปิ่น,542,756,ก้าวไกล,93
สส เขต,7,เชียงใหม่,ฝาง,ม่อนปิ่น,363,467,ก้าวไกล,117
สส เขต,7,เชียงใหม่,ฝาง,ม่อนปิ่น,190,234,ก้าวไกล,66
สส เขต,7,เชียงใหม่,ฝาง,ม่อนปิ่น,390,482,ก้าวไกล,113
สส เขต,7,เชียงใหม่,ฝาง,ม่อนปิ่น,671,996,ก้าวไกล,192
สส เขต,7,เชียงใหม่,ฝาง,ม่อนปิ่น,370,470,ก้าวไกล,142
สส เขต,7,เชียงใหม่,ฝาง,ม่อนปิ่น,484,640,ก้าวไกล,166
สส เขต,7,เชียงใหม่,ฝาง,ม่อนปิ่น,142,177,ก้าวไกล,61
สส เขต,7,เชียงใหม่,ฝาง,ม่อนปิ่น,559,862,ก้าวไกล,286
สส เขต,7,เชียงใหม่,ฝาง,ม่อนปิ่น,318,418,ก้าวไกล,117
สส เขต,7,เชียงใหม่,ฝาง,ม่อนปิ่น,229,303,ก้าวไกล,89
สส เขต,7,เชียงใหม่,ฝาง,ม่อนปิ่น,274,354,ก้าวไกล,91
สส เขต,7,เชียงใหม่,ฝาง,ม่อนปิ่น,717,971,ก้าวไกล,406
สส เขต,7,เชียงใหม่,ฝาง,สันทราย,403,520,ก้าวไกล,119
สส เขต,7,เชียงใหม่,ฝาง,สันทราย,310,399,ก้าวไกล,100
สส เขต,7,เชียงใหม่,ฝาง,สันทราย,489,616,ก้าวไกล,141
สส เขต,7,เชียงใหม่,ฝาง,สันทราย,189,221,ก้าวไกล,69
สส เขต,7,เชียงใหม่,ฝาง,สันทราย,487,676,ก้าวไกล,161
สส เขต,7,เชียงใหม่,ฝาง,สันทราย,315,406,ก้าวไกล,98
สส เขต,7,เชียงใหม่,ฝาง,สันทราย,338,400,ก้าวไกล,90
สส เขต,7,เชียงใหม่,ฝาง,สันทราย,493,646,ก้าวไกล,150
สส เขต,7,เชียงใหม่,ฝาง,สันทราย,278,342,ก้าวไกล,82
สส เขต,7,เชียงใหม่,ฝาง,สันทราย,320,416,ก้าวไกล,107
สส เขต,7,เชียงใหม่,ฝาง,เวียง,501,733,ก้าวไกล,184
สส เขต,7,เชียงใหม่,ฝาง,เวียง,430,609,ก้าวไกล,151
สส เขต,7,เชียงใหม่,ฝาง,เวียง,624,933,ก้าวไกล,203
สส เขต,7,เชียงใหม่,ฝาง,เวียง,640,917,ก้าวไกล,240
สส เขต,7,เชียงใหม่,ฝาง,เวียง,723,1070,ก้าวไกล,290
สส เขต,7,เชียงใหม่,ฝาง,เวียง,473,6636,ก้าวไกล,50
สส เขต,7,เชียงใหม่,ฝาง,เวียง,344,464,ก้าวไกล,113
สส เขต,7,เชียงใหม่,ฝาง,เวียง,234,462,ก้าวไกล,74
สส เขต,7,เชียงใหม่,ฝาง,เวียง,264,360,ก้าวไกล,83
สส เขต,7,เชียงใหม่,ฝาง,เวียง,624,862,ก้าวไกล,166
สส เขต,7,เชียงใหม่,ฝาง,เวียง,625,907,ก้าวไกล,178
สส เขต,7,เชียงใหม่,ฝาง,เวียง,389,499,ก้าวไกล,154
สส เขต,7,เชียงใหม่,ฝาง,เวียง,549,724,ก้าวไกล,181
สส เขต,7,เชียงใหม่,ฝาง,เวียง,191,285,ก้าวไกล,57
สส เขต,7,เชียงใหม่,ฝาง,เวียง,453,610,ก้าวไกล,203
สส เขต,7,เชียงใหม่,ฝาง,เวียง,359,483,ก้าวไกล,114
สส เขต,7,เชียงใหม่,ฝาง,เวียง,371,463,ก้าวไกล,108
สส เขต,7,เชียงใหม่,ฝาง,เวียง,318,448,ก้าวไกล,131
สส เขต,7,เชียงใหม่,ฝาง,เวียง,458,608,ก้าวไกล,166
สส เขต,7,เชียงใหม่,ฝาง,เวียง,425,576,ก้าวไกล,145
สส เขต,7,เชียงใหม่,ฝาง,เวียง,414,582,ก้าวไกล,189
สส เขต,7,เชียงใหม่,ฝาง,เวียง,608,793,ก้าวไกล,178
สส เขต,7,เชียงใหม่,ฝาง,เวียง,555,706,ก้าวไกล,218
